FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW answer count,FLOW answer length median,FLOW answer length variance,FLOW response time median,FLOW response time variance,FLOW label
83.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.94735,19,798,0.052633,1.04135802469125E-10,42,0,1,18,42,0,0.0039475,3.34802052469136E-07,0
19.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.961534,26,7436,0.038463,8.0310399999995E-11,286,0,1,25,342,0,0.00799,1.6969794624E-06,0
5.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.975612,41,1722,0.02439,4.31099999999986E-11,42,0,1,40,42,0,0.00089,5.30526636E-06,0
97.2,b8:27:eb:f9:00:d6,ff:ff:ff:ff:ff:ff,0.996252,497,20874,0.001757,6.74941083441727E-07,42,0,1,0,0,0,0,0,1
97.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0,1,286,0,0,286,0,1,1,342,0,0.021322,0,1
69.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.833347,6,1716,0.166664,2.02240000000036E-10,286,0,1,6,342,0,0.011296,1.04733647222222E-06,0
37.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.977776,45,1890,0.022222,8.15123966942107E-11,42,0,1,44,42,0,0.000884,6.16579504132231E-07,0
64.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.954549,22,6292,0.045454,2.5420408163265E-10,286,0,1,21,342,0,0.010685,3.07495555102041E-06,0
94.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.88889,9,2574,0.111112,8.29374999999898E-11,286,0,1,9,342,0,0.011084,2.33083580246914E-07,1
26.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.75,4,1144,0.249998,1.8666666666704E-11,286,0,1,4,342,0,0.0111985,5.3749025E-07,0
5.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.951234,40,1680,0.02439,1.11467455621305E-10,42,0,1,40,42,0,0.0008935,3.362355775E-07,0
10.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.973683,38,10868,0.026316,5.48867786705609E-11,286,0,1,37,342,0,0.008003,1.26512869978086E-06,0
15.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.972215,36,10296,0.027779,9.33306122449018E-11,286,0,1,34,342,0,0.0080245,0.000384942118516,0
87.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.967729,31,1302,0.0322585,7.35655555555528E-11,42,0,1,30,42,0,0.000905,1.55660669E-06,0
64.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.954541,22,6292,0.045455,1.28507936507935E-10,286,0,1,21,342,0,0.011024,2.5759008707483E-06,0
40.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.975002,40,1680,0.025,1.91433267587115E-10,42,0,1,39,42,0,0.000854,4.19088920447074E-07,0
79.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.972221,36,10296,0.027777,1.20533877551022E-10,286,0,1,32,342,0,0.008059,0.00047613584196,0
