FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW response time median,FLOW response time variance,FLOW response time average,FLOW response time min,FLOW response time max,FLOW label
48.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.200508,50,5100,0.00317,3.79034297959184E-06,102,0,1,0.001859,3.75909348E-06,0.0028066,0.00152,0.012069,0
44.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.228764,50,5100,0.003903,2.9188052061641E-06,102,0,1,0.0019025,1.2665749984E-06,0.00229996,0.00156,0.008831,0
17.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.176045,50,5100,0.003077,9.05009858392336E-07,102,0,1,0.001886,8.84956474802166E-07,0.00244012244898,0.001723,0.005298,0
11.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0,1,42,0,0,42,0,1,0,0,0,0,0,0
46.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.164322,50,5100,0.002993,8.88356249895877E-07,102,0,1,0.001844,8.931855856E-07,0.00221112,0.001687,0.006946,0
34.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.023265,6,612,0.002946,5.9891496E-06,102,0,1,0.001767,5.50679280555556E-06,0.003215833333333,0.001712,0.008038,0
31.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.185424,50,5100,0.003,2.1562662182424E-06,102,0,1,0.001862,2.01534362598917E-06,0.002688081632653,0.001654,0.008043,0
81.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.164569,50,5100,0.002936,8.85328737192836E-07,102,0,1,0.001836,8.52904842149104E-07,0.00226987755102,0.001642,0.005463,0
91.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.317655,50,5100,0.004751,1.74721953685964E-05,102,0,1,0.003384,1.7079230063307E-05,0.005079346938776,0.001721,0.018867,1
45.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.174126,50,5100,0.003041,9.89704690545606E-07,102,0,1,0.001856,9.3744601999167E-07,0.002395020408163,0.00172,0.00538,0
91.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.210401,50,5100,0.00304,1.01676833161183E-05,102,0,1,0.001834,1.01225475010412E-05,0.003140265306122,0.001688,0.020845,1
100.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.535776,50,5040,0.007992,0.000128588422122,102,70.56,1,0.006186,0.000127232895049,0.009346367346939,0.001802,0.075016,1
56.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.171105,50,5100,0.003075,8.09910996251562E-07,102,0,1,0.001888,7.65215444398167E-07,0.002310673469388,0.001665,0.005373,0
45.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.189387,50,5100,0.003067,4.56772636568097E-06,102,0,1,0.00189,4.42993614410662E-06,0.002690244897959,0.001442,0.015634,0
82.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.197911,50,5100,0.003004,5.38176889795918E-06,102,0,1,0.001837,5.38856204081633E-06,0.002844,0.001697,0.015299,0
39.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.164591,50,5100,0.003021,8.41029142857143E-07,102,0,1,0.001848,7.530028836E-07,0.00221458,0.001667,0.006402,0
42.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.168971,50,5100,0.002977,1.05568774760516E-06,102,0,1,0.001859,1.05831641066222E-06,0.002349551020408,0.001721,0.006175,0
70.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.132933,40,4080,0.002984,9.91876402366864E-07,102,0,1,0.0018105,8.88984544375E-07,0.002299575,0.001442,0.006118,0
75.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.184406,50,5100,0.003022,1.6119519516868E-06,102,0,1,0.001885,1.34573851228655E-06,0.002631346938776,0.001588,0.005534,0
